SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),1738 9th St,Santa Monica,CA,90404,1999850,2,4.0,C14 - Santa Monica,2016,8179,1900,43,992,,Active,,,http://www.redfin.com/CA/Santa-Monica/1738-9th-St-90404/home/6774457,CRISNet,SR20116786,N,Y,34.014942,-118.4846331
MLS Listing,,Condo/Co-op,1544 7th St Unit 11A,Santa Monica,CA,90401,1300000,2,2.0,Santa Monica,1576,7474,2006,43,825,641,Active,,,http://www.redfin.com/CA/Santa-Monica/1544-7th-St-90401/unit-11A/home/12289117,TheMLS,20-584614,N,Y,34.0162284,-118.490023
MLS Listing,,Condo/Co-op,101 California Ave #102,Santa Monica,CA,90403,1545000,2,2.0,Santa Monica,1190,18745,1964,44,1298,1642,Active,,,http://www.redfin.com/CA/Santa-Monica/101-California-Ave-90403/unit-102/home/6781166,TheMLS,20-591072,N,Y,34.0186374,-118.5027525
MLS Listing,,Condo/Co-op,101 California Ave #506,Santa Monica,CA,90403,1599000,2,2.0,Santa Monica,1077,18745,1964,44,1485,1642,Active,,,http://www.redfin.com/CA/Santa-Monica/101-California-Ave-90403/unit-506/home/6781197,TheMLS,20-591158,N,Y,34.0186374,-118.5027525
MLS Listing,,Multi-Family (2-4 Unit),427 Hill St,Santa Monica,CA,90405,3500000,8,4.0,Santa Monica,3764,4798,1962,44,930,,Active,,,http://www.redfin.com/CA/Santa-Monica/427-Hill-St-90405/unit-3/home/6777483,TheMLS,20-591082,N,Y,34.0034422,-118.4796956
MLS Listing,,Townhouse,1133 24th St #10,Santa Monica,CA,90403,1199800,2,2.5,C14 - Santa Monica,1462,18334,1974,44,821,450,Active,,,http://www.redfin.com/CA/Santa-Monica/1133-24th-St-90403/unit-10/home/6767817,CRMLS,RS20115006,N,Y,34.0349008,-118.4804377
MLS Listing,,Single Family Residential,2340 30th St,Santa Monica,CA,90405,3750000,5,3.75,C14 - Santa Monica,3386,6014,2021,44,1108,,Active,,,http://www.redfin.com/CA/Santa-Monica/2340-30th-St-90405/home/6764769,CRMLS,NP20111741,N,Y,34.0235109,-118.4572454
MLS Listing,,Condo/Co-op,129 Alta #10,Santa Monica,CA,90401,2195000,2,2.5,Santa Monica,1550,,,44,1416,537,Active,,,http://www.redfin.com/CA/Santa-Monica/129-Alta-Ave-90402/unit-10/home/6781922,TheMLS,20-590942,N,Y,34.0248119,-118.5093006
MLS Listing,,Condo/Co-op,2940 Neilson Way #205,Santa Monica,CA,90405,1000000,1,1.5,Santa Monica,1105,134111,1980,45,905,1065,Active,,,http://www.redfin.com/CA/Santa-Monica/2940-Neilson-Way-90405/unit-205/home/6778752,TheMLS,20-590748,N,Y,33.9982654,-118.4816049
MLS Listing,,Multi-Family (2-4 Unit),2230 Delaware Ave,Santa Monica,CA,90404,1795000,4,3.0,Santa Monica,2396,5252,1951,46,749,,Active,,,http://www.redfin.com/CA/Santa-Monica/2230-Delaware-Ave-90404/unit-B/home/6767313,TheMLS,20-590568,N,Y,34.0238434,-118.4694479
MLS Listing,,Single Family Residential,2230 La Mesa Dr,Santa Monica,CA,90402,6895000,5,4.5,Santa Monica,4641,19775,1927,46,1486,,Active,,,http://www.redfin.com/CA/Santa-Monica/2230-La-Mesa-Dr-90402/home/6839376,TheMLS,20-590298,N,Y,34.0471761,-118.4954423
MLS Listing,,Condo/Co-op,831 14th St #2,Santa Monica,CA,90403,1975000,3,3.0,Santa Monica,2024,15007,1979,47,976,520,Active,,,http://www.redfin.com/CA/Santa-Monica/831-14th-St-90403/unit-2/home/6772307,TheMLS,20-590422,N,Y,34.0317485,-118.4941357
MLS Listing,,Townhouse,2620 Arizona Ave #1,Santa Monica,CA,90404,1118000,2,2.5,Santa Monica,1554,5318,1979,47,719,300,Active,,,http://www.redfin.com/CA/Santa-Monica/2620-Arizona-Ave-90404/unit-1/home/6763178,TheMLS,20-590104,N,Y,34.034893,-118.4751475
MLS Listing,,Condo/Co-op,515 Ocean Ave #603,Santa Monica,CA,90402,2149000,2,2.0,Santa Monica,1490,67408,1976,48,1442,1314,Active,,,http://www.redfin.com/CA/Santa-Monica/515-Ocean-Ave-90402/unit-603/home/6781841,TheMLS,20-589822,N,Y,34.0247125,-118.5101948
